Date	   Time Freq  Level_3kHz
230522 0525  7.1   -91.2
230522 0525 14.2  -110.2
230522 1100  7.1   -92.4
230522 1100 14.2  -110.7
230522 1730  7.1   -90.1
230522 1730 14.2   -97.1
230523 0600  7.1   -92.8
230523 0600 14.2   -92.8
230523 1738  7.1   -92.0
230523 1738 14.2   -107.6
230524 0730  7.1   -92.3
230524 0730 14.2   -110.0
230524 1811  7.1   -90.8
230524 1811 14.2   -109.1
230525 0535  7.1   -91.1
230525 0535 14.2   -91.2
230525 0818 14.2   -107.4
230525 1757  7.1   -90
230525 1757 14.2   -90
230526 0615  7.1   -89.1
230526 0615 14.2   -89
230526 0618 14.2   -104
230526 0620 14.2   -89
230527 0600 14.2   -92.17
230527 0600 14.2   -110
   
